date,min_windspd,max_windspd,mean_windspd,precip
20130101,0,16,5,T
20130102,0,26,8,0
20130103,0,19,8,0
20130104,0,14,7,0
20130105,0,16,7,0
20130106,0,16,7,0
20130107,0,19,8,0
20130108,0,16,7,0
20130109,0,16,7,0
20130110,0,26,9,0
20130111,0,23,10,0.76
20130112,0,27,9,T
20130113,0,19,6,T
20130114,0,16,6,T
20130115,0,14,6,0
20130116,0,14,7,0
20130117,0,16,8,0
20130118,0,16,9,0
20130119,0,19,9,0
20130120,0,19,9,0
20130121,0,19,7,0
20130122,0,16,9,0
20130123,0,19,7,0
20130124,0,21,6,0.76
20130125,0,13,4,T
20130126,0,13,3,2.03
20130127,0,21,5,1.52
20130128,0,40,9,4.06
20130129,0,23,8,1.02
20130130,0,13,4,1.78
20130131,0,21,5,1.02
20130201,0,21,10,T
20130202,0,19,8,0
20130203,0,19,7,0
20130204,0,19,9,0
20130205,0,19,7,0
20130206,0,34,7,1.52
20130207,0,19,4,0
20130208,0,47,18,T
20130209,0,27,7,2.54
20130210,0,14,7,T
20130211,0,34,6,0.51
20130212,0,16,7,T
20130213,0,24,6,0
20130214,0,26,8,1.02
20130215,0,34,11,T
20130216,0,19,8,0
20130217,0,37,12,0.25
20130218,0,23,9,T
20130219,0,19,8,0
20130220,0,21,10,4.32
20130221,0,23,7,2.03
20130222,0,21,8,T
20130223,0,21,8,0.51
20130224,0,26,5,2.54
20130225,0,14,6,0
20130226,0,26,9,1.02
20130227,0,23,10,T
20130228,0,21,10,T
20130301,0,23,4,0.25
20130302,0,14,7,0
20130303,0,26,6,0.25
20130304,0,48,10,4.32
20130305,0,16,9,0
20130306,0,29,10,0
20130307,0,34,9,0
20130308,0,29,9,2.54
20130309,0,24,9,3.3
20130310,0,21,7,0
20130311,0,26,8,T
20130312,0,21,9,0.25
20130313,0,23,11,0
20130314,0,19,9,0
20130315,0,24,10,0
20130316,0,35,10,0.76
20130317,0,45,12,2.03
20130318,0,32,10,0
20130319,0,29,10,0
20130320,0,19,7,0
20130321,0,27,5,10.67
20130322,0,34,10,0.51
20130323,0,29,9,2.03
20130324,0,39,12,T
20130325,0,16,10,0
20130326,0,26,9,0
20130327,0,21,8,0
20130328,0,27,9,0
20130329,0,35,9,T
20130330,0,29,12,0
20130331,8,23,12,0
20130401,0,48,7,T
20130402,0,34,8,0.25
20130403,0,26,9,0.25
20130404,0,24,11,0
20130405,0,40,11,2.29
20130406,0,26,8,2.03
20130407,0,37,10,0
20130408,0,42,16,1.78
20130409,0,23,10,10.41
20130410,0,26,8,T
20130411,0,26,7,1.02
20130412,0,32,10,T
20130413,0,42,15,9.14
20130414,0,35,13,4.06
20130415,0,35,8,15.49
20130416,0,29,10,0.25
20130417,0,29,10,5.59
20130418,0,32,11,T
20130419,0,26,9,T
20130420,0,27,9,1.27
20130421,0,23,7,0.25
20130422,0,39,13,4.57
20130423,0,32,13,2.29
20130424,0,29,11,0
20130425,0,26,9,0
20130426,0,29,10,0
20130427,0,32,11,0
20130428,6,29,12,0
20130429,0,35,12,0
20130430,0,45,16,0
20130501,0,24,7,10.92
20130502,0,21,8,0
20130503,0,24,9,0
20130504,0,45,16,0
20130505,10,37,19,0
20130506,0,37,6,4.06
20130507,0,26,6,2.54
20130508,0,21,4,16.26
20130509,0,24,3,1.52
20130510,0,35,10,T
20130511,0,45,9,T
20130512,0,26,10,T
20130513,0,47,8,T
20130514,6,39,14,0.51
20130515,0,37,10,2.03
20130516,0,29,9,T
20130517,0,35,13,0
20130518,0,52,10,3.05
20130519,0,27,5,4.57
20130520,0,35,8,2.29
20130521,0,35,9,T
20130522,0,27,11,0
20130523,11,42,17,0
20130524,0,35,11,0
20130525,0,29,13,0
20130526,0,34,11,0
20130527,0,32,11,0
20130528,8,50,15,0
20130529,0,34,11,4.57
20130530,0,42,13,0.25
20130531,0,40,15,0
20130601,0,23,8,0
20130602,0,27,10,0
20130603,0,42,9,0.51
20130604,0,29,12,T
20130605,0,29,12,0
20130606,0,26,10,0
20130607,0,32,11,T
20130608,0,34,13,0
20130609,0,26,11,0
20130610,0,32,14,0
20130611,6,39,13,0
20130612,0,34,11,0
20130613,0,56,13,T
20130614,6,34,13,0
20130615,0,32,11,T
20130616,0,35,10,1.78
20130617,0,53,10,T
20130618,0,29,12,0
20130619,0,37,14,0
20130620,0,34,11,0
20130621,0,29,10,0
20130622,0,34,13,0
20130623,0,27,10,T
20130624,0,40,11,0
20130625,0,32,13,0
20130626,0,26,11,0
20130627,0,21,8,0
20130628,0,32,12,0
20130629,0,40,13,T
20130630,0,29,11,T
20130701,0,29,12,0
20130702,0,29,9,T
20130703,0,39,13,0.51
20130704,0,23,8,0
20130705,0,26,9,0.76
20130706,0,29,7,T
20130707,0,24,8,2.54
20130708,0,26,10,0.25
20130709,0,27,9,0
20130710,0,29,10,0
20130711,6,27,11,0.25
20130712,0,42,11,T
20130713,0,39,10,0
20130714,0,27,10,1.02
20130715,0,26,10,0.25
20130716,0,27,11,0.25
20130717,0,24,9,T
20130718,0,52,12,4.57
20130719,0,32,14,0
20130720,0,26,10,0
20130721,0,27,11,0
20130722,0,24,11,0
20130723,0,29,11,0
20130724,0,42,10,T
20130725,0,26,7,2.79
20130726,0,24,9,0
20130727,0,27,12,4.32
20130728,0,23,7,18.54
20130729,0,32,6,4.06
20130730,0,24,9,0
20130731,0,23,10,0
20130801,0,34,8,5.08
20130802,0,21,9,0
20130803,0,32,12,0.25
20130804,0,40,8,6.1
20130805,0,24,7,3.05
20130806,0,37,8,1.52
20130807,0,35,9,1.27
20130808,0,39,10,0
20130809,0,32,8,T
20130810,0,21,9,1.02
20130811,0,27,8,0
20130812,0,45,9,2.03
20130813,0,40,8,0.25
20130814,0,32,10,0
20130815,0,29,10,0
20130816,0,26,11,0
